frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
29.0,0.95618814,0.8441524,0.9322914,0.44434077,0.7975061,0.988847,0.99261546,0.9463773,0.97359675,0.9333595,0.96097124,0.99578625,0.99665976,0.9945966,0.99589914,0.9873819,0.98954517
30.0,0.9561091,0.84259397,0.93250364,0.44063994,0.7990396,0.9886458,0.9927434,0.9445969,0.974179,0.9314489,0.961489,0.9957486,0.9967039,0.9945403,0.9959538,0.98730797,0.989673
31.0,0.9563324,0.8454439,0.93188965,0.44716623,0.79447246,0.988846,0.9925748,0.94647706,0.9733898,0.9334399,0.96072346,0.99578047,0.99664575,0.9945702,0.9958676,0.9873077,0.98946637
32.0,0.95728695,0.8365865,0.93975306,0.41068697,0.8253973,0.98743117,0.99330103,0.9364881,0.97756565,0.92485297,0.9657039,0.9952343,0.9966749,0.9938391,0.99591196,0.98582214,0.989365
33.0,0.95643604,0.8301414,0.94010526,0.39764693,0.8309114,0.98702615,0.9932833,0.93331593,0.9775459,0.92147267,0.96540534,0.9951546,0.99667275,0.9938134,0.99596775,0.985925,0.98957413
34.0,0.9564585,0.829256,0.94088197,0.39313656,0.8337297,0.986907,0.99328655,0.93277305,0.9776818,0.9210732,0.96561986,0.99514043,0.99667704,0.9938221,0.9959884,0.9859314,0.9896045
35.0,0.95486975,0.8315855,0.9349362,0.41099247,0.8142666,0.98772603,0.9926847,0.9386233,0.97438735,0.92525625,0.9613547,0.9955344,0.9966628,0.9943862,0.9959965,0.9871142,0.9897943
36.0,0.9554213,0.83418584,0.9352035,0.41509742,0.81262684,0.9877188,0.9927045,0.9386408,0.97450835,0.9254951,0.9615977,0.99548197,0.9966342,0.9943007,0.99595356,0.98691154,0.9896744
37.0,0.95567966,0.84358495,0.9310904,0.4432944,0.7926441,0.9886076,0.9922829,0.9449921,0.97204393,0.9314321,0.9589316,0.9957314,0.99657,0.9945967,0.9958442,0.987425,0.9894823
38.0,0.95608896,0.84718883,0.9305017,0.45314983,0.788115,0.9887477,0.99227834,0.9459767,0.9718741,0.9326485,0.95889485,0.99572575,0.9965432,0.99457586,0.99579704,0.9874056,0.98941386
39.0,0.9554254,0.84533966,0.9289755,0.45303485,0.7851654,0.9888003,0.9921605,0.9464103,0.9712938,0.932813,0.9581103,0.99577564,0.9965423,0.9946589,0.9958097,0.98758763,0.98946875
40.0,0.9545797,0.84055024,0.92936414,0.44147232,0.7907662,0.988572,0.9919967,0.9451274,0.97063196,0.9311972,0.95712966,0.9957255,0.9964889,0.9946496,0.99578494,0.9876368,0.98946536
41.0,0.9555588,0.8574972,0.92105985,0.49774712,0.74769074,0.9896097,0.9915244,0.9515126,0.96713114,0.9371179,0.95322263,0.99591404,0.9963611,0.9947337,0.9954875,0.9875771,0.9887761
42.0,0.9556055,0.85441345,0.92301196,0.48657215,0.756326,0.98925334,0.9917807,0.94916517,0.9687927,0.9350412,0.955129,0.9958341,0.9964302,0.9946642,0.99561346,0.9874888,0.98903847
