frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,TOE_x,TOE_y,TOE_z,HOSEL_x,HOSEL_y,HOSEL_z,GRIP_x,GRIP_y,GRIP_z
0,-0.26412502,0.29121193,1.0475969,-0.2596936,0.28685135,1.04995,-0.26951623,0.28666356,1.049243,-0.250605,0.2849923,1.0557051,-0.276695,0.28464422,1.0532486,-0.23586418,0.30809215,1.0643955,-0.28037012,0.30331132,1.048708,-0.23855287,0.34379947,1.0511771,-0.2687735,0.33935636,1.0379336,-0.24274974,0.3733382,1.0290902,-0.25101197,0.37260705,1.0245148,-0.23660451,0.36914402,1.0602895,-0.27206847,0.36325902,1.0488232,-0.21923968,0.4243064,1.0427088,-0.27976727,0.413723,1.0236015,-0.20378023,0.47397134,1.0220437,-0.2859545,0.45996547,1.0010557,-0.19594578,0.45353082,0.89544517,-0.20028855,0.45854074,0.90732694,-0.23824582,0.38763756,1.0148408
1,-0.26582226,0.2906569,1.045463,-0.2614953,0.2865312,1.0478677,-0.2705367,0.28639302,1.0477487,-0.25165278,0.28494537,1.0548751,-0.2765118,0.28465563,1.0533323,-0.23556612,0.3080264,1.065109,-0.28022254,0.30313063,1.0489768,-0.23893477,0.34324238,1.0511142,-0.26848534,0.33932593,1.0382003,-0.2433756,0.3730309,1.0286196,-0.25061485,0.37289375,1.0247773,-0.236642,0.36973578,1.0599973,-0.27246305,0.36362818,1.0480064,-0.21919471,0.42443553,1.0427542,-0.28073677,0.41356662,1.0224457,-0.2043055,0.47299865,1.02205,-0.28591052,0.46000475,1.0010661,-0.19579545,0.45356104,0.89542073,-0.20026039,0.45854875,0.90712315,-0.23845488,0.38756546,1.0146159
2,-0.2640442,0.2912775,1.0465373,-0.25982407,0.28709468,1.0491048,-0.26926357,0.28688905,1.0482603,-0.2511355,0.28505746,1.0557582,-0.27647316,0.284694,1.0530249,-0.2360813,0.30776918,1.0650911,-0.28063703,0.30311728,1.0487468,-0.23911925,0.34309217,1.050989,-0.26821977,0.33965546,1.0384749,-0.24400252,0.3728287,1.0280993,-0.2509003,0.37304902,1.0245452,-0.23672406,0.36967742,1.0599041,-0.27236572,0.3637568,1.0479431,-0.2196487,0.42432252,1.042178,-0.28064018,0.413916,1.0225613,-0.20405562,0.47347546,1.0221993,-0.28597495,0.4602569,1.0009772,-0.19590105,0.45361343,0.89540535,-0.20034486,0.4586092,0.907224,-0.23871052,0.38731048,1.0145577
3,-0.2643002,0.29177392,1.0478835,-0.25991467,0.2874746,1.0501035,-0.2695828,0.28724808,1.0495079,-0.25101513,0.28520468,1.0555731,-0.27670488,0.28475282,1.053258,-0.23613231,0.3076978,1.0643991,-0.28055128,0.3030425,1.0484387,-0.23909795,0.34306836,1.0508684,-0.2680505,0.3395372,1.0383924,-0.24399383,0.3728551,1.0280571,-0.2508987,0.37293786,1.024467,-0.23676838,0.36921227,1.0600889,-0.2722817,0.36334714,1.0483531,-0.21991019,0.42386103,1.0423428,-0.2807516,0.41364583,1.0226918,-0.204489,0.47291726,1.0218798,-0.2860431,0.46022338,1.00086,-0.1957053,0.45382282,0.8953204,-0.20028979,0.45870638,0.90705377,-0.2387777,0.3871041,1.0146446
4,-0.26505095,0.2919166,1.0494705,-0.2606157,0.2875692,1.0511383,-0.2700852,0.28733197,1.0510722,-0.25139987,0.2851424,1.0551459,-0.2765356,0.28461704,1.0536872,-0.23618075,0.3073487,1.06323,-0.28046417,0.30277473,1.047617,-0.23909765,0.34238002,1.0502863,-0.2678659,0.33960167,1.0377738,-0.24348235,0.372695,1.0285307,-0.2504356,0.37296253,1.0248653,-0.23659754,0.36915606,1.0601103,-0.27209315,0.3632548,1.0485026,-0.22024846,0.4236733,1.0420582,-0.28067344,0.41350275,1.0230365,-0.20441931,0.47309214,1.02235,-0.28603894,0.45999777,1.00101,-0.19586587,0.4535334,0.8953169,-0.20045047,0.4584442,0.9071805,-0.23880698,0.38720933,1.0151159
5,-0.26547644,0.29195556,1.0489784,-0.26103458,0.28763527,1.0506086,-0.27039596,0.28734276,1.0507066,-0.25190789,0.28529912,1.0545452,-0.27669764,0.28466213,1.0535233,-0.23676418,0.30759263,1.0629134,-0.28077716,0.30290508,1.047412,-0.23909463,0.34241837,1.0505047,-0.26778188,0.33972746,1.0379019,-0.24335612,0.37284067,1.0285267,-0.25023293,0.37317783,1.0249208,-0.2372371,0.3690754,1.0598242,-0.2725917,0.36314675,1.0482236,-0.2202456,0.424023,1.0420581,-0.28093803,0.41379714,1.0227554,-0.20434472,0.47341663,1.021888,-0.28628662,0.46008196,1.0003935,-0.1960018,0.45367143,0.89510286,-0.20081016,0.4584113,0.9068104,-0.23915792,0.38689438,1.0147624
6,-0.2656031,0.29221138,1.0485983,-0.26134256,0.2878514,1.0500369,-0.27036014,0.28770855,1.0505068,-0.25237998,0.28522962,1.0539008,-0.27636048,0.28495145,1.0537816,-0.23662326,0.30751634,1.0630054,-0.28067914,0.30291545,1.0475531,-0.23870893,0.34247357,1.0508361,-0.2678378,0.33963248,1.0378741,-0.2432254,0.37285924,1.0287712,-0.250139,0.37309897,1.0250702,-0.23722722,0.36919364,1.0597738,-0.27265993,0.36326736,1.0481503,-0.21998371,0.42410555,1.042378,-0.28127214,0.41360787,1.0224564,-0.20459671,0.47326514,1.0217488,-0.28621057,0.4600503,1.000588,-0.19587713,0.45375264,0.89524925,-0.20066838,0.4586228,0.90698826,-0.23920015,0.38687596,1.0147316
7,-0.26239136,0.29315084,1.0510528,-0.25831598,0.2884223,1.0525571,-0.26797423,0.28852463,1.0523089,-0.25077316,0.2850396,1.0557134,-0.27596307,0.28529507,1.0543784,-0.23655967,0.3071578,1.0636343,-0.280872,0.30325085,1.0476385,-0.23884957,0.34231,1.0510132,-0.2677011,0.3399294,1.0379047,-0.24334396,0.37279338,1.0288633,-0.25038484,0.3730206,1.0248262,-0.23693915,0.36893904,1.0601004,-0.27235872,0.36334565,1.0483664,-0.2201934,0.4241774,1.0421919,-0.28062057,0.41397172,1.0228802,-0.20478338,0.47333393,1.021416,-0.28616354,0.4600954,1.0006257,-0.196121,0.45348677,0.8951354,-0.20083176,0.45832643,0.9069357,-0.23931843,0.3870131,1.0147401
8,-0.264904,0.29292503,1.049924,-0.2605198,0.28842673,1.0514218,-0.270056,0.28832683,1.0515659,-0.25165424,0.28528625,1.0547588,-0.2768563,0.2851185,1.0540109,-0.2365511,0.30732208,1.062787,-0.2808084,0.3028936,1.0474722,-0.23946084,0.34218103,1.0500443,-0.26794937,0.33937523,1.0378082,-0.24372663,0.37281135,1.0282732,-0.2501685,0.3729891,1.0250725,-0.23706478,0.36924088,1.0598555,-0.27253386,0.3633837,1.0484158,-0.22017372,0.42429066,1.0422428,-0.28066227,0.4135668,1.0227242,-0.20466752,0.4734522,1.0216122,-0.28614333,0.46009645,1.0006449,-0.19605747,0.45357922,0.89519656,-0.2008109,0.4585048,0.90701056,-0.23920411,0.38699743,1.0147809
9,-0.2640765,0.2934109,1.0512455,-0.2597823,0.28876543,1.0525253,-0.2694279,0.2887561,1.0525968,-0.2512654,0.2851963,1.0550611,-0.2766397,0.28523684,1.0541457,-0.23652154,0.30698,1.0625634,-0.28072336,0.30300495,1.0471691,-0.2393976,0.34182426,1.050218,-0.26810843,0.33946046,1.0373945,-0.24366634,0.3728553,1.0284878,-0.25026432,0.37310958,1.0249283,-0.23714605,0.3693296,1.0597345,-0.27255052,0.36370456,1.0482887,-0.22009975,0.4244293,1.0421695,-0.28097934,0.4140261,1.0221969,-0.20459394,0.4734239,1.0214125,-0.2861863,0.46030423,1.0004189,-0.19626585,0.45358548,0.89505833,-0.20085831,0.45853376,0.90696436,-0.23904131,0.38714886,1.014837
