frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,TOE_x,TOE_y,TOE_z,HOSEL_x,HOSEL_y,HOSEL_z,GRIP_x,GRIP_y,GRIP_z
10,0.2610366,-0.21655992,-1.0484923,0.2559307,-0.21085857,-1.0488768,0.2666698,-0.2108637,-1.0508504,0.24647471,-0.20745863,-1.0514318,0.27439228,-0.20763217,-1.0551076,0.2338397,-0.23380874,-1.0660273,0.2788109,-0.23052618,-1.0516899,0.23837294,-0.27702984,-1.0572898,0.26770037,-0.2742283,-1.0427562,0.24400932,-0.3137168,-1.0318681,0.25105256,-0.3141453,-1.0273716,0.23913844,-0.30875608,-1.0803311,0.27550107,-0.30396557,-1.0695236,0.22458996,-0.37477025,-1.0618068,0.2865755,-0.36786455,-1.0445267,0.21017848,-0.4348537,-1.0410287,0.2953446,-0.4265252,-1.023989,0.19058244,-0.40969875,-0.84532523,0.1966256,-0.41269487,-0.8644363,0.23701562,-0.3356764,-1.0090898
11,0.2600825,-0.21631628,-1.0467408,0.2551627,-0.2106139,-1.0473568,0.2657349,-0.21069728,-1.0494729,0.24678658,-0.2073687,-1.0506247,0.27404177,-0.20771205,-1.0552853,0.23475415,-0.23392631,-1.0665153,0.27933335,-0.23069935,-1.052021,0.23827027,-0.27695924,-1.0585147,0.26741266,-0.27454898,-1.0436474,0.24363114,-0.31369704,-1.0321337,0.25148654,-0.31412306,-1.0265013,0.23904164,-0.30867064,-1.0805146,0.27515218,-0.30394846,-1.0696317,0.22421826,-0.37511712,-1.0621924,0.2863717,-0.36788806,-1.0448327,0.21028589,-0.43492472,-1.0407579,0.29544365,-0.42645848,-1.0241494,0.19053978,-0.40958437,-0.84501785,0.19659096,-0.41258296,-0.86412036,0.23696749,-0.3357128,-1.008935
12,0.26025608,-0.21593784,-1.0461048,0.25537288,-0.21026117,-1.0467634,0.2660379,-0.21042146,-1.0486614,0.24646251,-0.20710829,-1.0509751,0.27435985,-0.20758493,-1.054577,0.23435716,-0.23363425,-1.0668538,0.27912024,-0.23059854,-1.0523123,0.23926395,-0.276568,-1.0570861,0.26762936,-0.2744067,-1.0436552,0.24397282,-0.314023,-1.0316719,0.25060424,-0.31464288,-1.0277635,0.23923549,-0.30896348,-1.0799359,0.2755092,-0.30432793,-1.0689154,0.22441298,-0.37473184,-1.0619766,0.28654623,-0.36795944,-1.0442537,0.21005817,-0.43486127,-1.0410794,0.29540977,-0.4264439,-1.0243664,0.19054404,-0.40956673,-0.8450805,0.1966118,-0.41261148,-0.86416066,0.2370283,-0.33560452,-1.0089912
13,0.2613802,-0.21506488,-1.0444665,0.25639552,-0.20943823,-1.0453371,0.2669153,-0.20960096,-1.0474508,0.24684347,-0.20679662,-1.0504974,0.27440217,-0.20733944,-1.0546727,0.23431727,-0.23382308,-1.0668579,0.27822843,-0.23142906,-1.0532738,0.23650628,-0.27749708,-1.06052,0.26838973,-0.27521312,-1.0412422,0.24327937,-0.31372902,-1.0330299,0.25191355,-0.3143361,-1.025861,0.23826714,-0.3107918,-1.0804778,0.2739014,-0.30648437,-1.0703553,0.22390042,-0.37519166,-1.0626099,0.28655028,-0.3682711,-1.0441816,0.20940457,-0.4349873,-1.0421815,0.29554856,-0.4263436,-1.0242621,0.19056422,-0.40952295,-0.8450948,0.19664659,-0.41268378,-0.8641865,0.23721923,-0.3354873,-1.0086664
14,0.2602047,-0.2153095,-1.0454913,0.2553041,-0.20967565,-1.0463431,0.26596987,-0.2098288,-1.0481433,0.24642342,-0.20691791,-1.0508443,0.2741924,-0.20743555,-1.0544976,0.2345924,-0.23369588,-1.0664814,0.2785763,-0.23132893,-1.0525767,0.23714079,-0.2772184,-1.0598271,0.26820558,-0.27531338,-1.0417252,0.2435274,-0.3137265,-1.0328093,0.25149,-0.3148064,-1.0263855,0.23811717,-0.31108907,-1.080797,0.27388477,-0.30680847,-1.0702714,0.2236167,-0.3755049,-1.0635177,0.28635818,-0.3687417,-1.044062,0.20960407,-0.4344917,-1.0425293,0.29570228,-0.426072,-1.023963,0.19068934,-0.40943584,-0.84492004,0.1966949,-0.41267398,-0.86412334,0.23728219,-0.33543468,-1.0086223
15,0.25975665,-0.21512215,-1.0459824,0.2549832,-0.20935518,-1.0467163,0.26565018,-0.2096062,-1.0483168,0.24631506,-0.20653686,-1.0512462,0.2740336,-0.20728767,-1.0545784,0.2345245,-0.23348364,-1.0670952,0.27823114,-0.23152055,-1.0536058,0.23708539,-0.27701175,-1.0603074,0.26894957,-0.2748491,-1.0413944,0.24324045,-0.31342024,-1.0332379,0.25207764,-0.31380153,-1.0261253,0.23836349,-0.31057996,-1.0806495,0.27381065,-0.30661324,-1.0706261,0.22406276,-0.37488908,-1.0629721,0.2861672,-0.36873817,-1.0446212,0.20971829,-0.43415844,-1.042366,0.29586577,-0.42608672,-1.0236158,0.1906274,-0.40954816,-0.8449218,0.1966892,-0.41274297,-0.8641017,0.23736532,-0.3353708,-1.0085926
16,0.25991923,-0.21552603,-1.0457898,0.25511882,-0.20983,-1.0464005,0.26564485,-0.21003419,-1.0483452,0.24637702,-0.20687202,-1.050932,0.27385744,-0.20745893,-1.054844,0.23479,-0.2336411,-1.0666614,0.27835095,-0.2314147,-1.0533988,0.23751204,-0.2770433,-1.0594242,0.26866382,-0.2750506,-1.0415941,0.24338664,-0.31384167,-1.0326612,0.2516037,-0.31446868,-1.026556,0.23829657,-0.31108692,-1.0805268,0.27373168,-0.30697972,-1.0704726,0.22382076,-0.3751521,-1.0633969,0.28637198,-0.36859965,-1.0446267,0.20959403,-0.43467212,-1.0427403,0.29569244,-0.4261136,-1.0241195,0.19076891,-0.40946972,-0.84466034,0.19680737,-0.4127122,-0.863949,0.23739532,-0.3354339,-1.0085443
17,0.25936922,-0.21601611,-1.0459719,0.2547555,-0.21031587,-1.0464684,0.26514438,-0.21054068,-1.0484684,0.24658105,-0.20699228,-1.0509384,0.2737494,-0.20764247,-1.0551528,0.23456076,-0.23350208,-1.0678985,0.27951866,-0.2306128,-1.0523875,0.23775908,-0.27658823,-1.0594201,0.2683576,-0.2744593,-1.0423573,0.243293,-0.31378,-1.0327544,0.25083104,-0.31452623,-1.0276496,0.23902181,-0.30912116,-1.0803936,0.275333,-0.30455765,-1.0689135,0.22464804,-0.3746796,-1.0620106,0.2865318,-0.36819175,-1.0441686,0.21031412,-0.43443578,-1.0408877,0.29563877,-0.42612374,-1.0245054,0.19100653,-0.4093143,-0.84440404,0.19686322,-0.41268834,-0.8639198,0.23723274,-0.3353988,-1.008815
18,0.26121613,-0.21546249,-1.0432444,0.25648007,-0.20998408,-1.0437363,0.26650828,-0.21004494,-1.0463693,0.24746232,-0.20724052,-1.049279,0.27403578,-0.20749842,-1.0545813,0.23454677,-0.23388822,-1.0678074,0.27919307,-0.23041,-1.0531656,0.23812981,-0.27694362,-1.058663,0.26824063,-0.27426356,-1.0428548,0.24351239,-0.31370455,-1.0323336,0.25103188,-0.3143389,-1.0275533,0.23904419,-0.30897054,-1.0804988,0.27526525,-0.3041436,-1.0693789,0.22446823,-0.37485325,-1.0622985,0.28641292,-0.36794513,-1.0447857,0.21011724,-0.4347915,-1.0409377,0.29550707,-0.42656803,-1.0243027,0.19102721,-0.40925005,-0.8444044,0.19683522,-0.41267115,-0.86392075,0.23726523,-0.3353262,-1.0088335
19,0.26038328,-0.21562287,-1.043871,0.2558118,-0.20997453,-1.0443643,0.26590523,-0.21019578,-1.0466974,0.24740468,-0.2068345,-1.0496539,0.27392343,-0.20751508,-1.0546973,0.2341985,-0.23369163,-1.0687833,0.2793192,-0.23060746,-1.0530734,0.23769502,-0.27678016,-1.0596696,0.26816484,-0.2746884,-1.0427512,0.24337073,-0.31362683,-1.0326456,0.25095838,-0.31442747,-1.0274153,0.2388499,-0.30927467,-1.0806648,0.2753553,-0.30443332,-1.0689808,0.22405475,-0.37568593,-1.0624871,0.28627387,-0.3682163,-1.0449175,0.21010959,-0.43526697,-1.040929,0.2954121,-0.42665997,-1.0240973,0.19104479,-0.40919128,-0.8444538,0.1969085,-0.4125858,-0.86394185,0.23728345,-0.33533382,-1.0087327
