frame,BOX_x,BOX_y,BOX_width,BOX_height,TOE_x,TOE_y,HOSEL_x,HOSEL_y,GRIP_x,GRIP_y
227.0,612.4999809265137,1370.5000305175781,146.99999928474418,168.99999618530265,687.5469446182251,1451.7607498168945,664.6620798110962,1454.373435974121,538.9978086948394,1287.3569869995117
228.0,611.0000252723694,1371.0000228881836,142.00000226497644,169.99999523162842,683.4452247619629,1452.5239562988281,660.9903073310852,1454.1460418701172,538.912353515625,1287.2125625610352
229.0,609.9999904632568,1371.0000228881836,139.99999701976773,169.99999523162842,680.5815267562866,1452.8193283081055,658.1618857383728,1454.1225814819336,538.5160410404205,1287.0473098754883
230.0,607.5,1371.0000228881836,137.00000524520874,169.99999523162842,676.4446592330933,1451.8008041381836,653.7290954589844,1453.674545288086,538.2510495185852,1287.1967697143555
231.0,605.9999799728394,1371.0000228881836,133.99999737739563,169.99999523162842,674.1652750968933,1452.3070907592773,651.7113876342773,1453.7779998779297,537.5910651683807,1286.714859008789
232.0,605.0000095367432,1370.5000305175781,132.00000017881385,168.99999618530265,671.9713139533997,1452.4535751342773,649.651129245758,1453.7947082519531,536.8932616710663,1286.3677597045898
233.0,601.9999694824219,1370.0000381469727,127.99999773502344,169.99999523162842,667.8653454780579,1452.777214050293,645.7763242721558,1453.894271850586,536.0960662364959,1285.6771087646484
234.0,600.5000138282776,1368.4999465942383,124.9999979138374,166.99999809265134,664.7106170654297,1448.8627624511719,641.9451642036438,1451.5082931518555,535.6245017051697,1285.770378112793
235.0,597.4999737739563,1367.9999542236328,121.00000351667404,165.99999904632557,659.6032619476318,1448.1513977050781,637.0794010162354,1450.627212524414,535.5418145656585,1285.9040451049805
236.0,596.000018119812,1367.4999618530273,118.00000369548789,165.0,655.1924228668213,1447.375602722168,633.1495571136475,1449.9589920043945,535.0127649307251,1285.6410598754883
237.0,593.5000276565552,1366.9999694824219,112.99999862909311,164.00000095367423,649.7979640960693,1447.082633972168,628.8184118270874,1449.393196105957,534.8265337944031,1285.2817153930664
238.0,589.5000171661377,1366.9999694824219,106.99999898672102,164.00000095367423,644.3008947372437,1447.2881698608398,624.8673892021179,1447.9040908813477,533.8308119773864,1284.0319061279297
239.0,586.4999771118164,1365.999984741211,102.99999654293052,164.00000095367423,638.0088186264038,1446.15966796875,618.9852404594421,1446.830062866211,533.0300760269164,1283.0402755737305
240.0,583.0000162124634,1363.5000228881836,99.99999672174447,161.00000381469715,633.9786171913147,1442.295799255371,615.4807734489441,1444.7962188720703,530.7606053352355,1283.9179229736328
241.0,579.9999761581421,1363.5000228881836,93.99999707937238,159.0000057220458,625.8149600028992,1442.1259689331055,609.7984385490417,1442.5726318359375,531.2711155414581,1284.1419982910156
242.0,576.5000152587891,1361.5000534057617,89.00000005960464,154.99999523162842,620.5102372169495,1439.8796081542969,604.6403574943542,1440.2283096313477,530.0067007541655,1283.0781555175781
243.0,572.9999899864197,1360.4999542236328,81.9999977946281,154.99999523162842,613.2761263847351,1436.4865493774414,599.2672061920166,1437.081413269043,528.3181643486023,1282.0734786987305
244.0,568.4999942779541,1360.4999542236328,75.00000357627869,152.99999713897688,607.0048427581787,1434.3656158447266,594.3094539642334,1435.7873153686523,528.3100533485413,1282.276725769043
245.0,565.5000185966492,1358.9999771118164,71.00000113248818,151.99999809265134,600.9466981887817,1433.6393737792969,589.8675870895386,1434.030876159668,528.3394074440001,1282.4169158935547
246.0,563.0000281333923,1357.9999923706055,66.00000008940692,151.99999809265134,596.1021137237549,1434.880027770996,583.8960886001587,1434.1498947143555,527.3376989364624,1280.8464431762695
247.0,556.500027179718,1356.500015258789,57.000000625848685,150.99999904632557,582.1072912216187,1433.8517761230469,571.922128200531,1428.101692199707,527.6885318756104,1280.0660705566406
248.0,552.5000166893005,1356.500015258789,51.000000983476596,150.99999904632557,576.3347053527832,1431.7244338989258,563.7202978134155,1427.5807571411133,527.0500481128693,1281.430435180664
249.0,548.500006198883,1356.0000228881836,45.00000134110451,148.00000190734846,570.025634765625,1429.8877716064453,558.5306739807129,1423.7781143188477,523.7247312068939,1280.555534362793
250.0,544.0000104904175,1356.0000228881836,37.99999907612795,146.00000381469715,561.1637234687805,1427.8653717041016,553.0319952964783,1420.0809860229492,523.4678828716278,1280.980110168457
251.0,535.9999895095825,1355.0000381469727,30.000000223517365,144.0000057220458,548.2259058952332,1428.6678314208984,543.0427193641663,1415.8281326293945,521.5290641784668,1282.7204132080078
252.0,531.499993801117,1352.9999542236328,24.999999180436117,137.99999713897688,541.5113496780396,1423.853874206543,538.5131120681763,1412.0009994506836,519.3527090549469,1283.682518005371
253.0,528.4999859333038,1350.4999923706055,17.000000327825532,135.0,,,,,,
254.0,522.5000023841857,1350.4999923706055,10.999999679624928,136.99999809265134,,,,,,
255.0,513.5000109672545,1350.0,15.000000111758629,137.99999713897688,,,,,,
256.0,505.4999899864197,1342.5,28.99999961256971,126.99999332427973,,,,,,
257.0,501.9999969005584,1342.0000076293945,34.000000655651064,123.99999618530265,483.4205281734466,1406.0480117797852,489.5995652675628,1397.1235656738281,519.9441683292389,1278.848876953125
258.0,497.999986410141,1341.0000228881836,36.00000187754627,121.99999809265134,476.6160428524017,1401.9819259643555,482.4840295314788,1395.4891204833984,517.6638185977936,1279.7813415527344
259.0,487.9999923706054,1342.0000076293945,49.99999836087223,123.99999618530265,,,,,,
260.0,485.9999871253967,1332.5000381469727,51.99999958276744,106.99999809265132,,,,,,
