frame,BOX_x,BOX_y,BOX_width,BOX_height,TOE_x,TOE_y,HOSEL_x,HOSEL_y,GRIP_x,GRIP_y,new_frame
198.0,552.0000314712524,1244.5000076293945,68.00000131130213,233.00000667572004,521.1275696754456,1363.391990661621,529.1119480133056,1348.736457824707,584.0167236328125,1127.654685974121,213840.0
199.0,548.000020980835,1243.0000305175781,74.00000095367422,234.0000057220458,515.4921948909758,1360.7725524902344,523.7938356399536,1347.0380401611328,583.2828068733215,1126.0673904418945,214920.0
200.0,544.0000104904175,1243.5000228881836,81.9999977946281,233.00000667572004,507.839595079422,1360.1886749267578,516.2154579162597,1345.8420181274414,582.3920130729675,1125.3933334350586,216000.0
201.0,541.5000200271606,1241.5000534057617,84.99999761581414,228.99999618530265,503.4105062484741,1355.591697692871,511.9041717052459,1341.042709350586,582.1069693565369,1124.7639083862305,217080.0
202.0,536.5000069141388,1240.4999542236328,90.99999725818633,226.99999809265134,490.9594452381134,1352.7994537353516,501.135241985321,1345.2458953857422,580.1033592224121,1123.8071823120117,218160.0
203.0,532.4999964237213,1239.9999618530273,96.99999690055843,225.99999904632557,482.12138414382935,1350.9167861938477,494.140019416809,1346.4289855957031,579.0746140480042,1122.9065322875977,219240.0
204.0,525.999995470047,1238.499984741211,105.99999636411665,225.0,473.6125588417053,1347.9643249511719,487.42694377899164,1344.5658874511719,578.5143113136292,1120.7209396362305,220320.0
205.0,523.50000500679,1235.5000305175781,108.9999961853027,221.00000381469715,469.23039793968195,1343.1095123291016,483.47910761833185,1339.4783020019531,578.0611252784729,1119.762954711914,221400.0
206.0,517.4999892711639,1230.4999923706055,118.9999982714653,210.99999904632557,457.75433063507074,1335.2574920654297,473.8325536251068,1331.740493774414,579.0686273574829,1123.7062454223633,222480.0
207.0,512.5000083446502,1230.0,127.00000315904613,210.0,446.5321505069732,1332.0405578613281,463.8948726654053,1329.7932815551758,577.6708960533142,1123.5080337524414,223560.0
208.0,508.0000126361847,1229.000015258789,133.99999737739563,210.0,440.7335579395294,1337.3285293579102,461.1721837520599,1330.1123428344727,575.785539150238,1119.9272918701172,224640.0
209.0,502.9999995231628,1227.0000457763672,142.00000226497644,208.00000190734846,429.1884505748749,1330.9740829467773,449.9817395210266,1325.1208877563477,575.8109664916992,1118.968849182129,225720.0
210.0,497.0000159740448,1223.9999771118164,151.999996304512,201.99999332427973,422.2819018363952,1317.2155380249023,441.7020499706268,1316.4024353027344,574.945342540741,1122.905616760254,226800.0
211.0,491.4999854564666,1224.9999618530273,161.00000381469718,204.0000057220458,410.9463286399841,1321.3664245605469,430.7559978961944,1318.150863647461,573.1690979003906,1121.850700378418,227880.0
215.0,469.0000069141388,1214.000015258789,192.0000046491622,185.999994277954,369.87277150154114,1302.0604705810547,395.76031565666193,1303.9834213256836,565.9773445129395,1118.1018447875977,232200.0
216.0,464.9999964237213,1211.5000534057617,195.99999904632568,179.00000095367423,364.57171797752375,1296.5766906738281,390.1619231700897,1296.353530883789,562.9890203475952,1117.4859237670898,233280.0
217.0,460.50000071525574,1207.9999923706055,200.99999606609342,174.0000057220458,356.0214686393737,1286.9621658325195,384.09492731094355,1296.6912460327148,560.9287619590759,1117.1431732177734,234360.0
218.0,453.9999997615814,1205.0000381469727,205.99999308586112,167.99999713897688,347.43439793586725,1279.4852828979492,374.8822152614593,1291.2280654907227,556.7999410629272,1117.459945678711,235440.0
233.0,367.50001430511475,1140.999984741211,304.99999523162836,75.99999904632557,214.59053993225092,1155.9641647338867,245.64398646354672,1177.8022384643555,522.1862161159515,1104.1032028198242,251640.0
250.0,328.99999380111694,1012.5,264.0000003576278,87.0000028610229,194.31386053562164,965.1349639892578,210.38282990455622,1001.6713714599609,464.27621841430664,1058.756446838379,270000.0
251.0,329.9999964237213,1005.4999923706055,258.0000007152557,95.00000238418579,195.73772728443137,956.1279487609862,210.0849276781082,988.4576797485352,460.5288076400757,1052.9731750488281,271080.0
252.0,329.9999964237213,997.9999923706055,254.00000631809235,102.0000028610229,205.62561571598053,948.3962059020996,220.9484052658081,979.7347640991211,455.472275018692,1049.5592880249023,272160.0
253.0,334.4999921321869,990.4999923706055,244.99999880790708,109.00000333786002,211.50826334953308,932.332706451416,225.14296710491175,965.8710479736328,459.0573692321777,1045.048484802246,273240.0
254.0,335.49999475479126,982.5,235.00000476837153,117.0000028610229,219.1388475894927,922.7994918823242,225.36645412445068,956.9790458679199,455.3868198394775,1041.2841796875,274320.0
255.0,338.9999878406524,975.4999923706055,225.99999725818634,122.9999971389769,225.2327191829681,912.7361297607422,231.15917265415192,944.6728706359862,454.04489994049067,1037.2463607788086,275400.0
256.0,341.5000104904175,967.5,212.99999535083768,129.0000057220458,237.7850872278213,900.867519378662,240.69574534893033,929.2953872680664,447.88726687431335,1033.5184478759766,276480.0
257.0,345.4999887943267,959.5000076293945,200.99999606609342,136.99999809265134,248.141353726387,891.5353202819823,249.7671908140182,920.0886154174804,446.59465670585627,1030.9175491333008,277560.0
258.0,351.99998974800104,949.9999809265137,183.9999997615814,141.99999332427973,260.03759980201716,875.6494903564452,258.37634146213526,914.2205429077148,445.404109954834,1022.5586700439453,278640.0
259.0,354.5000123977661,944.5000076293945,174.9999922513961,143.00000667572004,270.5506145954132,868.7849235534668,267.90771603584284,902.8351593017578,442.45869040489197,1016.7528533935547,279720.0
260.0,357.499988079071,937.0000076293945,164.99999821186066,148.00000190734846,279.3990397453308,860.5378532409667,274.08607721328735,892.9581642150879,442.693201303482,1012.1028900146484,280800.0
