frame,BOX_x,BOX_y,BOX_width,BOX_height,TOE_x,TOE_y,HOSEL_x,HOSEL_y,GRIP_x,GRIP_y
1.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6574535965919495,0.7575539350509644,0.6356663703918457,0.7589784860610962,0.4999411106109619,0.6705501675605774
2.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6575444936752319,0.7576534152030945,0.6358130574226379,0.7590039968490601,0.4999025762081146,0.6705359816551208
3.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6576336622238159,0.757690966129303,0.6358695030212402,0.759063720703125,0.49982553720474243,0.670520544052124
4.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6573578119277954,0.7576620578765869,0.6356504559516907,0.7590332627296448,0.4998508095741272,0.6705173254013062
5.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6574289202690125,0.7575891017913818,0.6356290578842163,0.7590299248695374,0.4997278153896332,0.6705532670021057
6.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6573577523231506,0.7575666904449463,0.6355854272842407,0.7589754462242126,0.49927401542663574,0.6704760789871216
7.0,0.5782407522201538,0.7143229246139526,0.15648147463798523,0.08906249701976776,0.657456636428833,0.7576501369476318,0.6357311010360718,0.7590347528457642,0.49890661239624023,0.6704308986663818
8.0,0.5782407522201538,0.7143229246139526,0.15648147463798523,0.08906249701976776,0.6574162244796753,0.7576279044151306,0.6357660293579102,0.7589658498764038,0.49917855858802795,0.6705363988876343
9.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6574696898460388,0.7576168775558472,0.6357710361480713,0.7589731216430664,0.4994153678417206,0.6705926656723022
10.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6574603915214539,0.7576262354850769,0.6357756853103638,0.7589572072029114,0.4996432363986969,0.6706262230873108
11.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6575285792350769,0.7576581835746765,0.6358855366706848,0.7589820027351379,0.4995797574520111,0.6705629825592041
12.0,0.5787037014961243,0.7145833373069763,0.15555556118488312,0.0885416641831398,0.6575048565864563,0.7575323581695557,0.636026918888092,0.7587417364120483,0.4998682737350464,0.6707374453544617
13.0,0.5787037014961243,0.7145833373069763,0.15555556118488312,0.0885416641831398,0.6574607491493225,0.7575250864028931,0.6359418034553528,0.7587695717811584,0.4998650550842285,0.6707258820533752
14.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6575926542282104,0.7575289607048035,0.636035144329071,0.7587875127792358,0.4997812807559967,0.6707273125648499
15.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.657523512840271,0.7576343417167664,0.6359743475914001,0.7588598132133484,0.4998230040073395,0.6707058548927307
16.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6575738787651062,0.757571816444397,0.6360111832618713,0.7588164210319519,0.4998420476913452,0.6707156896591187
17.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6574351191520691,0.7576029300689697,0.6359022259712219,0.7588376402854919,0.4997134208679199,0.6707070469856262
18.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6574757695198059,0.7576034665107727,0.6359339952468872,0.758846640586853,0.4996957778930664,0.6706940531730652
19.0,0.5787037014961243,0.7143229246139526,0.15555556118488312,0.08906249701976776,0.6575281620025635,0.7576510310173035,0.6360113024711609,0.7588289976119995,0.49971631169319153,0.6707054972648621
20.0,0.5787037014961243,0.7145833373069763,0.15555556118488312,0.0885416641831398,0.657471239566803,0.7576229572296143,0.6359245777130127,0.7588425874710083,0.4997151792049408,0.6707360148429871
