frame,BOX_conf,TOE_conf,HOSEL_conf,GRIP_conf
1.0,0.4990774095058441,0.9989932179450989,0.9997106194496155,0.9997026324272156
2.0,0.511610209941864,0.9992920160293579,0.999804675579071,0.9997709393501282
3.0,0.49573707580566406,0.9991493225097656,0.9997637867927551,0.9997559189796448
4.0,0.5009236335754395,0.9991310238838196,0.9997572302818298,0.9997356534004211
5.0,0.4913008213043213,0.9990205764770508,0.9997286200523376,0.9997546076774597
6.0,0.47148507833480835,0.999265730381012,0.9998063445091248,0.9997817873954773
7.0,0.4807911217212677,0.9993531107902527,0.9998313188552856,0.9997988343238831
8.0,0.4534716010093689,0.9992126226425171,0.9997931122779846,0.9997968077659607
9.0,0.45377498865127563,0.9992884397506714,0.9998157620429993,0.999810516834259
10.0,0.441086083650589,0.9992635846138,0.9998041987419128,0.9997832179069519
11.0,0.4082242250442505,0.9993036985397339,0.9998223185539246,0.9998220801353455
12.0,0.39488348364830017,0.9993040561676025,0.9998230338096619,0.9998251795768738
13.0,0.4269540011882782,0.9993841648101807,0.9998447895050049,0.9998291730880737
14.0,0.3886060118675232,0.9993778467178345,0.9998438358306885,0.999824583530426
15.0,0.3180410861968994,0.999313235282898,0.999826967716217,0.9998214840888977
16.0,0.27511516213417053,0.9992038607597351,0.9997958540916443,0.9998078942298889
17.0,0.31114307045936584,0.999197781085968,0.9997914433479309,0.9997990727424622
18.0,0.2987823188304901,0.9992958307266235,0.9998193383216858,0.9998071789741516
19.0,0.3087306618690491,0.9992377758026123,0.999800980091095,0.9997873902320862
20.0,0.2892315983772278,0.9992786049842834,0.9998160004615784,0.9998190999031067
21.0,0.28974485397338867,0.9992548823356628,0.9998094439506531,0.9998134970664978
22.0,0.27641671895980835,0.999218225479126,0.9997954964637756,0.9997977614402771
23.0,,,,
24.0,,,,
25.0,0.2786942422389984,0.9990782737731934,0.9997592568397522,0.9998007416725159
26.0,0.27314135432243347,0.9990843534469604,0.9997572302818298,0.9997898936271667
27.0,0.2722022235393524,0.9991374015808105,0.9997722506523132,0.9997977614402771
28.0,0.27864161133766174,0.9990824460983276,0.9997478127479553,0.9997764229774475
29.0,0.2635124921798706,0.9990912675857544,0.999755322933197,0.9997734427452087
30.0,0.2542099058628082,0.9990854263305664,0.9997506737709045,0.9997623562812805
31.0,,,,
32.0,,,,
33.0,,,,
34.0,,,,
35.0,,,,
36.0,,,,
37.0,,,,
38.0,,,,
39.0,,,,
40.0,,,,
41.0,,,,
42.0,0.2565915882587433,0.9991093277931213,0.9997673630714417,0.9997939467430115
43.0,0.27380672097206116,0.9991447925567627,0.9997802376747131,0.999816358089447
44.0,0.25812432169914246,0.9989515542984009,0.9997164607048035,0.9997538924217224
45.0,0.25604578852653503,0.9990429282188416,0.9997476935386658,0.9997746348381042
46.0,0.2582714557647705,0.9990261793136597,0.9997444748878479,0.9997830986976624
47.0,,,,
48.0,,,,
49.0,,,,
50.0,,,,
51.0,,,,
52.0,,,,
53.0,,,,
54.0,,,,
55.0,,,,
56.0,0.2500592768192291,0.9991600513458252,0.9997811913490295,0.999796450138092
57.0,0.2542330324649811,0.9991207718849182,0.9997692704200745,0.9997836947441101
58.0,0.27375495433807373,0.9992104768753052,0.9997928738594055,0.99979168176651
59.0,,,,
60.0,0.25221070647239685,0.9991378784179688,0.9997702240943909,0.9997883439064026
61.0,,,,
62.0,,,,
63.0,,,,
64.0,,,,
65.0,,,,
66.0,,,,
67.0,,,,
68.0,,,,
69.0,,,,
70.0,,,,
71.0,,,,
72.0,,,,
73.0,,,,
74.0,,,,
75.0,,,,
76.0,,,,
77.0,,,,
78.0,,,,
79.0,,,,
80.0,,,,
81.0,,,,
82.0,,,,
83.0,,,,
84.0,,,,
85.0,,,,
86.0,,,,
87.0,,,,
88.0,,,,
89.0,,,,
90.0,,,,
91.0,,,,
92.0,,,,
93.0,,,,
94.0,,,,
95.0,,,,
96.0,,,,
97.0,,,,
98.0,,,,
99.0,,,,
100.0,,,,
101.0,,,,
102.0,,,,
103.0,0.2872062623500824,0.999107301235199,0.9997560381889343,0.9997071623802185
104.0,0.25905853509902954,0.9991217255592346,0.9997676014900208,0.9997714161872864
105.0,,,,
106.0,,,,
107.0,,,,
108.0,,,,
109.0,,,,
110.0,,,,
111.0,,,,
112.0,,,,
113.0,,,,
114.0,,,,
115.0,,,,
116.0,,,,
117.0,,,,
118.0,,,,
119.0,,,,
120.0,,,,
121.0,,,,
