frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
1.0,0.9952916,0.98724097,0.9691881,0.89890707,0.5668074,0.9965249,0.9982962,0.9656723,0.98654723,0.9607055,0.9800212,0.9988404,0.9992291,0.99791974,0.998642,0.9905902,0.99362856
2.0,0.9920249,0.98417825,0.93435186,0.93444145,0.39538723,0.9963427,0.9982627,0.96692085,0.9868579,0.95931023,0.97883,0.9989428,0.99931717,0.9979328,0.9986889,0.99026686,0.993619
3.0,0.9931918,0.98165375,0.958218,0.8905015,0.55945873,0.99599326,0.9984043,0.95913815,0.9880063,0.9515129,0.98037004,0.9988586,0.9993243,0.9978649,0.9987735,0.9905425,0.99418455
4.0,0.9935201,0.9824196,0.9608571,0.8876893,0.5688486,0.9959935,0.9982863,0.95931464,0.9868341,0.95226663,0.9791499,0.99883205,0.9992817,0.9979372,0.9987632,0.99112415,0.9943439
5.0,0.9923125,0.9802203,0.9516178,0.89417034,0.5357207,0.99612087,0.9983133,0.96238834,0.98744607,0.9550058,0.979776,0.99892884,0.9993357,0.99805605,0.9988207,0.9913606,0.99446
6.0,0.9917133,0.97915226,0.9480918,0.89693165,0.526711,0.995756,0.998336,0.95658666,0.9874348,0.947423,0.97884357,0.9988519,0.9993279,0.99786264,0.99878556,0.9905426,0.9942403
7.0,0.9885527,0.97244996,0.9289707,0.89565086,0.49912474,0.9957515,0.9983027,0.9586554,0.9876556,0.9471705,0.97818255,0.99894255,0.99937516,0.99793637,0.9988146,0.9905738,0.994218
8.0,0.991384,0.9657092,0.96667784,0.76309884,0.7480106,0.9958696,0.9982016,0.9567413,0.9868124,0.94726396,0.9782971,0.9989202,0.9993199,0.99809736,0.9988335,0.9918976,0.9946562
9.0,0.9917606,0.97647685,0.95500714,0.86744124,0.5918727,0.99560934,0.99827254,0.95489275,0.98721564,0.94574857,0.97865784,0.9988225,0.99930584,0.9978824,0.99878937,0.9909416,0.9944436
10.0,0.991803,0.9736125,0.96034557,0.8362148,0.6535183,0.99578553,0.9982496,0.9560153,0.9868946,0.9466675,0.97825843,0.9988984,0.9993293,0.9980532,0.998847,0.99177855,0.994772
11.0,0.99050903,0.9691909,0.9559467,0.8251159,0.6586566,0.9957118,0.9982316,0.9569847,0.9873444,0.94726604,0.97880846,0.99888295,0.99932206,0.9979546,0.99879384,0.9911034,0.9943645
12.0,0.9905405,0.96603864,0.95967615,0.79501206,0.69937617,0.9957438,0.9982918,0.95720524,0.9881097,0.9478939,0.9800315,0.99893326,0.99936,0.9980427,0.9988606,0.99143887,0.99460876
13.0,0.9928877,0.97918874,0.96167284,0.86629444,0.6050027,0.9953017,0.99835193,0.9501658,0.98801327,0.9428751,0.98031837,0.9986994,0.99928015,0.9977331,0.99879384,0.99063444,0.9945568
14.0,0.9865936,0.9645882,0.94212115,0.81725115,0.58753586,0.9928705,0.9967263,0.9354493,0.9771489,0.9173397,0.9609668,0.997465,0.99837613,0.9955253,0.99719787,0.9854741,0.9903756
15.0,0.9847398,0.95369416,0.9445818,0.7618832,0.6577124,0.99242496,0.9967926,0.92861766,0.9780106,0.90811217,0.9612845,0.99753404,0.9984836,0.995689,0.9974235,0.98641104,0.9912503
16.0,0.98770624,0.9626072,0.9534839,0.77168405,0.66049075,0.9930761,0.9965569,0.9363125,0.975468,0.91910917,0.95944566,0.99748296,0.9983088,0.99573046,0.9971814,0.98645407,0.9905743
17.0,0.9884781,0.9642601,0.9573205,0.7694797,0.6682725,0.9921027,0.99677795,0.9227173,0.97733855,0.9051925,0.9616572,0.99719197,0.99830604,0.99531174,0.99725807,0.9856392,0.9909281
18.0,0.9844914,0.9570778,0.93929815,0.7913056,0.60968465,0.9913892,0.99681395,0.9179129,0.9785089,0.8970064,0.9617003,0.9972312,0.9984236,0.99528766,0.99741447,0.98561805,0.99137664
19.0,0.9895862,0.9720659,0.94271445,0.87017095,0.56013805,0.99544924,0.9982114,0.9553282,0.98722494,0.9452796,0.97836727,0.9988518,0.99932516,0.9979243,0.9988172,0.9909723,0.99447745
20.0,0.9854896,0.9627801,0.9199202,0.8702189,0.53694606,0.99608225,0.9981792,0.96489424,0.98725665,0.95366967,0.97785836,0.99908257,0.9994098,0.9982376,0.99888736,0.99178505,0.9945656
21.0,0.98811454,0.9725405,0.9265306,0.8948568,0.4826837,0.9956442,0.9980987,0.959302,0.9861646,0.949268,0.97684366,0.9989685,0.99936074,0.99821174,0.99891794,0.9922956,0.9950977
22.0,0.97965884,0.94818866,0.9182025,0.79625005,0.5676944,0.9920242,0.99630463,0.9318778,0.97551334,0.90930384,0.95671934,0.9974879,0.99838436,0.99558747,0.9972299,0.9858655,0.9906205
23.0,0.9851081,0.959118,0.9254754,0.8489192,0.57330954,0.99549544,0.99816483,0.957318,0.9873121,0.944714,0.97749114,0.9989826,0.9993895,0.9980976,0.99889165,0.9915392,0.9947267
24.0,0.9882251,0.96485585,0.9435112,0.83615273,0.62102276,0.9957021,0.9981273,0.95778877,0.98641557,0.9464151,0.97682625,0.9989403,0.9993387,0.99807644,0.9988292,0.9916372,0.9945821
25.0,0.9902474,0.9635124,0.96088326,0.7751283,0.7234321,0.9959208,0.99817467,0.9594595,0.98701096,0.9499443,0.9786128,0.9989215,0.9993124,0.9980422,0.9987803,0.99147624,0.9943047
26.0,0.9825196,0.94274956,0.9303085,0.78035796,0.66241735,0.99489164,0.9981008,0.9497103,0.98727405,0.93439,0.97661704,0.99892455,0.9993825,0.99801123,0.9988961,0.9915352,0.9948656
