frame,NOSE_x,NOSE_y,LEFT_EYE_x,LEFT_EYE_y,RIGHT_EYE_x,RIGHT_EYE_y,LEFT_EAR_x,LEFT_EAR_y,RIGHT_EAR_x,RIGHT_EAR_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
1.0,0.47520062,0.5803061,0.4814095,0.5763543,0.46875373,0.5761023,0.48964345,0.57413095,0.4574542,0.57360584,0.4871685,0.5910547,0.4492336,0.59117424,0.4791203,0.62252253,0.45653936,0.6243225,0.48182487,0.6522499,0.47645444,0.6546908,0.45673093,0.64424676,0.42537406,0.64407665,0.466988,0.68927884,0.41337258,0.6935373,0.48025367,0.73391634,0.39964995,0.74144334
2.0,0.4773265,0.5798796,0.48306167,0.57593817,0.4706732,0.5757521,0.48955616,0.57390726,0.45773748,0.57343894,0.48550087,0.5909777,0.44850197,0.5909214,0.47861385,0.6226841,0.45719066,0.624035,0.481637,0.652302,0.47661477,0.65459174,0.45644712,0.6440721,0.42557314,0.6439505,0.46708488,0.68877584,0.41327858,0.6932986,0.48160616,0.73385113,0.39949894,0.74097264
3.0,0.47871745,0.579946,0.48401225,0.5759789,0.47203463,0.57590234,0.48944554,0.5737719,0.45827124,0.57351536,0.48519203,0.59075725,0.44817334,0.5908045,0.47849286,0.62248594,0.4565279,0.6237635,0.4815459,0.6522377,0.47629637,0.654426,0.45653743,0.6440899,0.42562163,0.6440268,0.46712333,0.6887802,0.413311,0.6931766,0.4815095,0.7338341,0.39932522,0.74093807
4.0,0.47875366,0.5799093,0.4839371,0.575919,0.47201437,0.5759173,0.48931476,0.57367575,0.45826128,0.5736078,0.48537412,0.59062284,0.4484269,0.59084487,0.4786264,0.6223425,0.45675075,0.62378705,0.48130697,0.6521717,0.47620624,0.6544867,0.45656076,0.64406174,0.42565086,0.6440331,0.4670342,0.6887474,0.41308758,0.69308823,0.48154014,0.7337766,0.39917526,0.74090374
5.0,0.47972858,0.57968456,0.48454148,0.5757158,0.47324485,0.5756932,0.48881763,0.57324296,0.45902812,0.5730797,0.4848274,0.5901751,0.44764838,0.59031004,0.4792254,0.62211555,0.45627022,0.62339616,0.48181126,0.6522335,0.47606048,0.6542768,0.45672828,0.6439542,0.42563143,0.6439623,0.46756777,0.6888751,0.4130704,0.6931847,0.48164186,0.73381704,0.39945245,0.7410203
6.0,0.4799833,0.57944775,0.48474145,0.5754928,0.47344792,0.57545984,0.48879027,0.57324004,0.4590336,0.57305306,0.48459598,0.590293,0.4474817,0.5904549,0.47896,0.6223415,0.45616862,0.6238131,0.48168278,0.65230167,0.47630253,0.6546237,0.45647627,0.6440271,0.42540482,0.6440676,0.46753088,0.68883675,0.41297972,0.69326615,0.4816256,0.7338552,0.39955536,0.741248
7.0,0.47919464,0.57946604,0.48435837,0.57553065,0.4726414,0.57539135,0.48920396,0.57352126,0.45863912,0.5730856,0.48486006,0.5907532,0.44734165,0.59065944,0.47880802,0.6227295,0.45591667,0.62390816,0.48176157,0.65244275,0.47647834,0.6546688,0.45668012,0.644083,0.42541435,0.6440386,0.46739832,0.68882287,0.4127854,0.6933946,0.4812522,0.7339647,0.39934206,0.74116445
8.0,0.47948998,0.5796843,0.48445424,0.57568043,0.4729941,0.57562256,0.4889793,0.5733276,0.4589397,0.57308525,0.48498276,0.59041226,0.44745693,0.59060824,0.4788363,0.62271744,0.4558857,0.6241722,0.48173264,0.6524801,0.47658607,0.6547725,0.4566443,0.64381605,0.4253233,0.6438887,0.46733844,0.68869525,0.41263962,0.6933687,0.48128572,0.7338633,0.39918762,0.7414256
9.0,0.47902742,0.5797235,0.4842214,0.57578105,0.47257096,0.575632,0.48916292,0.5735624,0.45877865,0.5731051,0.48499474,0.590646,0.44719008,0.59059846,0.47869143,0.6229894,0.45521784,0.62416106,0.48189777,0.6526094,0.47650442,0.65473735,0.4566335,0.64400643,0.4251937,0.644021,0.46757343,0.68877816,0.41284138,0.6934926,0.48131794,0.73381513,0.39943153,0.7414378
10.0,0.47879994,0.5799877,0.4841008,0.57605284,0.47239727,0.5758647,0.4892707,0.5737458,0.45879352,0.5731932,0.485116,0.5907968,0.44723976,0.5906271,0.47877875,0.62333477,0.45526564,0.6243383,0.48216027,0.6528424,0.4765526,0.6548637,0.45665497,0.6440672,0.4252163,0.6440294,0.467614,0.68894285,0.41307142,0.6935641,0.481175,0.7339284,0.39948162,0.74140984
