frame,BOX_conf,TOE_conf,HOSEL_conf,GRIP_conf
1.0,0.89736407995224,0.9998224377632141,0.9999616146087646,0.9998842477798462
2.0,0.8986204862594604,0.9999502897262573,0.9999923706054688,0.9999662637710571
3.0,0.8994303941726685,0.9999521970748901,0.9999927282333374,0.9999681711196899
4.0,0.8984483480453491,0.9999474287033081,0.9999918937683105,0.9999657869338989
5.0,0.8978874683380127,0.9998828172683716,0.9999749660491943,0.9998704195022583
6.0,0.8989414572715759,0.9998918771743774,0.9999772310256958,0.9998824596405029
7.0,0.8994187712669373,0.99994957447052,0.9999923706054688,0.9999697208404541
8.0,0.8984072208404541,0.9999470710754395,0.9999920129776001,0.9999691247940063
9.0,0.8982229828834534,0.9999459981918335,0.999991774559021,0.9999679327011108
10.0,0.8984490036964417,0.9998378753662109,0.999966025352478,0.9999085664749146
11.0,0.8985047340393066,0.9998412132263184,0.9999666213989258,0.9999072551727295
12.0,0.8987448215484619,0.9998363256454468,0.9999656677246094,0.9999077320098877
13.0,0.900070071220398,0.9999043941497803,0.999980092048645,0.9998960494995117
14.0,0.8999013900756836,0.9999032020568848,0.9999798536300659,0.9998974800109863
15.0,0.9000262022018433,0.9999034404754639,0.9999798536300659,0.9998966455459595
16.0,0.8997014164924622,0.999904990196228,0.9999802112579346,0.999897837638855
17.0,0.9001206755638123,0.9999055862426758,0.9999803304672241,0.9998990297317505
18.0,0.8993691205978394,0.999900221824646,0.9999790191650391,0.9998922348022461
19.0,0.8999106287956238,0.9999558925628662,0.9999933242797852,0.9999717473983765
20.0,0.9001286029815674,0.9999568462371826,0.9999935626983643,0.999972939491272
21.0,0.8998742699623108,0.9999029636383057,0.9999797344207764,0.9998974800109863
22.0,0.8995793461799622,0.9999014139175415,0.9999793767929077,0.9998966455459595
23.0,0.8989222645759583,0.9998981952667236,0.9999785423278809,0.9998856782913208
24.0,0.8987014889717102,0.9998972415924072,0.9999781847000122,0.999883770942688
25.0,0.897931694984436,0.9998842477798462,0.9999756813049316,0.9998862743377686
26.0,0.8973822593688965,0.9998745918273926,0.9999734163284302,0.9998776912689209
27.0,0.8969190120697021,0.9998741149902344,0.9999732971191406,0.9998750686645508
28.0,0.8985797762870789,0.999890923500061,0.9999772310256958,0.9998923540115356
29.0,0.8985850811004639,0.9998949766159058,0.9999780654907227,0.999894380569458
30.0,0.8984131813049316,0.999895453453064,0.9999781847000122,0.9998947381973267
31.0,0.8975908160209656,0.9998904466629028,0.9999769926071167,0.9998855590820312
32.0,0.8972966074943542,0.999815046787262,0.9999606609344482,0.9998942613601685
33.0,0.8975192308425903,0.9998131394386292,0.9999597072601318,0.9998854398727417
34.0,0.8979913592338562,0.9997982382774353,0.9999557733535767,0.9998704195022583
35.0,0.8960185647010803,0.9998020529747009,0.9999568462371826,0.9998764991760254
36.0,0.8966401815414429,0.9998006224632263,0.9999566078186035,0.9998782873153687
37.0,0.8973767757415771,0.9998778104782104,0.9999736547470093,0.9998607635498047
38.0,0.8975831270217896,0.9998782873153687,0.9999738931655884,0.9998663663864136
39.0,0.8973615765571594,0.999876856803894,0.9999735355377197,0.9998661279678345
40.0,0.8977115154266357,0.9998767375946045,0.9999736547470093,0.9998683929443359
41.0,0.8968239426612854,0.9998730421066284,0.9999727010726929,0.9998635053634644
42.0,0.8966707587242126,0.9998708963394165,0.9999722242355347,0.9998600482940674
43.0,0.8969836235046387,0.999879002571106,0.9999741315841675,0.9998679161071777
44.0,0.8975895643234253,0.9998812675476074,0.9999746084213257,0.9998681545257568
45.0,0.8968393802642822,0.9998722076416016,0.9999724626541138,0.9998600482940674
46.0,0.8966371417045593,0.9998700618743896,0.999971866607666,0.9998568296432495
47.0,0.8958926200866699,0.9998666048049927,0.9999710321426392,0.9998527765274048
48.0,0.8962656259536743,0.999864935874939,0.9999707937240601,0.9998522996902466
49.0,0.8956990838050842,0.9997842907905579,0.9999520778656006,0.9998515844345093
50.0,0.8973822593688965,0.9998780488967896,0.9999737739562988,0.9998633861541748
